1,Aeroporto
2,Alameda
3,Rua
4,Avenida
5,Ladeira
6,Praça
7,Travessa
8,Vila
9,Aeroporto
10,Alameda
11,Apartamento
12,Beco
13,Caminho
14,Escadinha
15,Estaçăo
16,Estrada
17,Fazenda
18,Fortaleza
19,Galeria
20,Largo
21,Parque
22,Praia
23,Quadra
24,Quilômetro
25,Quinta
26,Rodovia
27,Setor
28,Super Quadra
29,Viaduto
30,Outros
